"drug_name","targets","max_clinical_stage","real_distance","z_score"
"TRANEXAMIC ACID","PLG","APPROVAL",1,0.629768522243206
"CM-082","KDR; PDGFRB","PHASE_2",1,0.637056898581359
"AMINOCAPROIC ACID","PLG","APPROVAL",1,0.645249965308404
"DEMECARIUM BROMIDE","ACHE","APPROVAL",1,0.645249965308404
"PHYSOSTIGMINE SALICYLATE","ACHE","UNKNOWN",1,0.645249965308404
"PHYSOSTIGMINE","ACHE","APPROVAL",1,0.645249965308404
"NINTEDANIB ESYLATE","KDR; PDGFRB","APPROVAL",1,0.647438325124216
"CEDIRANIB","KDR; PDGFRB","APPROVAL",1,0.647438325124216
"PRALIDOXIME","ACHE","PHASE_2",1,0.653014985607966
"MINAPRINE","ACHE","APPROVAL",1,0.653014985607966
"DUVELISIB","PIK3CD","APPROVAL",1,0.653014985607966
"BRONTICTUZUMAB","NOTCH1","PHASE_1",1,0.653014985607966
"MOTESANIB","KDR; PDGFRB","PHASE_3",1,0.656904329024432
"HEXAFLUORENIUM BROMIDE","ACHE","APPROVAL",1,0.660798514116817
"ECHOTHIOPHATE","ACHE","APPROVAL",1,0.660798514116817
"STREPTOKINASE","PLG","APPROVAL",1,0.660798514116817
"OCIPERLIMAB","TIGIT","PHASE_3",1,0.660798514116817
"NEOSTIGMINE","ACHE","APPROVAL",1,0.668602262565157
"ELX-02","RPS27A","PHASE_2",1,0.668602262565157
"NINTEDANIB","KDR; PDGFRB","APPROVAL",1,0.671812156568188
"DEMECARIUM","ACHE","APPROVAL",1,0.676427930030648
"ACOTIAMIDE HYDROCHLORIDE","ACHE","APPROVAL",1,0.676427930030648
"NEOSTIGMINE METHYLSULFATE","ACHE","APPROVAL",1,0.676427930030648
"ATALUREN","RPS27A","APPROVAL",1,0.676427930030648
"ETIGILIMAB","TIGIT","PHASE_2",1,0.676427930030648
"X-82","KDR; PDGFRB","PHASE_2",1,0.681718932428753
"ANISTREPLASE","PLG","APPROVAL",1,0.684277205610158
